from	to	edgeWeight	sign
CDC11	SWI4	1.000000	1
CDC11	CDC10	1.000000	1
CDC11	SWI4_SWI6	0.348832	1
CDC11	CTS1	0.013468	1
CDC11	PCL1	1.000000	1
CDC11	PHO5	0.033563	1
CDC11	CLN2	0.090031	1
SWI4	CDC10	1.000000	1
SWI4	SWI4_SWI6	0.348832	1
SWI4	CTS1	0.013468	1
SWI4	PCL1	1.000000	1
SWI4	PHO5	0.033563	1
SWI4	CLN2	0.090031	1
CDC10	SWI4_SWI6	0.348832	1
CDC10	CTS1	0.013468	1
CDC10	PCL1	1.000000	1
CDC10	PHO5	0.033563	1
CDC10	CLN2	0.090031	1
SPT16	ACT1	1.000000	1
SPT16	HTB1	1.000000	1
SPT16	CLN2	0.155864	1
SPT16	SUC2	0.015256	1
SPT16	PHO4	0.640268	1
SPT16	PHO84	0.640268	1
SWI4_SWI6	MBP1_SWI6	0.061573	1
SWI4_SWI6	CLB5	0.061573	1
SWI4_SWI6	CLB6	0.061573	1
SWI4_SWI6	PCL1	0.348832	1
SWI4_SWI6	UME6	0.003145	1
SWI4_SWI6	RAD5	0.061573	1
SWI4_SWI6	CHO2	0.003145	1
SWI4_SWI6	INO2_INO4	0.003145	1
SWI4_SWI6	MEK1	0.003145	1
SWI4_SWI6	POX1	0.003145	1
SWI4_SWI6	CAR1	0.003145	1
SWI4_SWI6	FAS1	0.003145	1
ACT1	HTB1	1.000000	1
ACT1	CLN2	0.155864	1
ACT1	SUC2	0.015256	1
ACT1	PHO4	0.640268	1
ACT1	PHO84	0.640268	1
HTB1	CLN2	0.155864	1
HTB1	SUC2	0.015256	1
HTB1	PHO4	0.640268	1
HTB1	PHO84	0.640268	1
HO	STE6	0.041965	1
HO	TUP1	0.163841	1
HO	RNR3	0.163841	1
HO	ALPHA1	0.163841	1
CAF4	GAL1	0.014838	1
CAF4	CAF16	0.229402	1
MBP1_SWI6	PHO2	0.363259	1
MBP1_SWI6	TRP4	0.363259	1
MBP1_SWI6	FLO1	0.363259	1
MBP1_SWI6	CLB5	1.000000	1
MBP1_SWI6	CLB6	1.000000	1
MBP1_SWI6	FLO10	0.363259	1
MBP1_SWI6	RAD5	1.000000	1
MBP1_SWI6	LEU4	0.055630	1
MBP1_SWI6	CDC6	0.088883	1
PHO2	TRP4	1.000000	1
PHO2	FLO1	1.000000	1
PHO2	CLB5	0.363259	1
PHO2	CLB6	0.363259	1
PHO2	FLO10	1.000000	1
PHO2	TUP1	0.274388	1
PHO2	RAD5	0.363259	1
PHO2	RNR3	0.274388	1
PHO2	ALPHA1	0.274388	1
CTS1	SNF6	0.139380	1
CTS1	PCL1	0.013468	1
ACE2	SNF6	0.234300	1
ACE2	GAL1	0.019345	1
ACE2	EGT2	1.000000	1
ACE2	CDC6	0.017086	1
TRP4	FLO1	1.000000	1
TRP4	CLB5	0.363259	1
TRP4	CLB6	0.363259	1
TRP4	FLO10	1.000000	1
TRP4	TUP1	0.274388	1
TRP4	RAD5	0.363259	1
TRP4	RNR3	0.274388	1
TRP4	ALPHA1	0.274388	1
LEU2	PHO5	0.040134	1
LEU2	SIN3	0.045809	1
LEU2	FUS1	0.045809	1
LEU2	PHO4	0.050863	1
LEU2	PHO84	0.050863	1
FLO1	CLB5	0.363259	1
FLO1	CLB6	0.363259	1
FLO1	FLO10	1.000000	1
FLO1	TUP1	0.274388	1
FLO1	RAD5	0.363259	1
FLO1	RNR3	0.274388	1
FLO1	ALPHA1	0.274388	1
CLB5	CLB6	1.000000	1
CLB5	FLO10	0.363259	1
CLB5	RAD5	1.000000	1
CLB5	LEU4	0.055630	1
CLB5	CDC6	0.088883	1
CLB6	FLO10	0.363259	1
CLB6	RAD5	1.000000	1
CLB6	LEU4	0.055630	1
CLB6	CDC6	0.088883	1
FLO10	TUP1	0.274388	1
FLO10	RAD5	0.363259	1
FLO10	RNR3	0.274388	1
FLO10	ALPHA1	0.274388	1
SNF6	EGT2	0.234300	1
SNF6	ADH2	0.008847	1
PCL1	PHO5	0.033563	1
PCL1	CLN2	0.090031	1
PHO5	STE6	0.060344	1
PHO5	ADH2	0.037831	1
GAL1	EGT2	0.019345	1
GAL1	SUC2	0.069662	1
LEU3	SIN3	0.255802	1
LEU3	STE6	0.055897	1
LEU3	FUS1	0.255802	1
LEU3	LEU4	0.037114	1
SIN3	FUS1	1.000000	1
SIN3	ADH2	0.040694	1
HDA1_TUP1	PHO4	0.291977	1
HDA1_TUP1	PHO84	0.291977	1
TUP1	RNR3	1.000000	1
TUP1	ALPHA1	1.000000	1
EGT2	CDC6	0.017086	1
CLN2	CAF16	0.003531	1
FUS1	ADH2	0.040694	1
UME6	CHO2	1.000000	1
UME6	INO2_INO4	1.000000	1
UME6	MEK1	1.000000	1
UME6	POX1	1.000000	1
UME6	CAR1	1.000000	1
UME6	FAS1	1.000000	1
UME6	MIG1	0.001136	1
RAD5	LEU4	0.055630	1
RAD5	CDC6	0.088883	1
CHO2	INO2_INO4	1.000000	1
CHO2	MEK1	1.000000	1
CHO2	POX1	1.000000	1
CHO2	CAR1	1.000000	1
CHO2	FAS1	1.000000	1
CHO2	MIG1	0.001136	1
INO2_INO4	MEK1	1.000000	1
INO2_INO4	POX1	1.000000	1
INO2_INO4	CAR1	1.000000	1
INO2_INO4	FAS1	1.000000	1
INO2_INO4	MIG1	0.001136	1
RNR3	ALPHA1	1.000000	1
SUC2	MIG1	0.050724	1
MEK1	POX1	1.000000	1
MEK1	CAR1	1.000000	1
MEK1	FAS1	1.000000	1
MEK1	MIG1	0.001136	1
CAF16	SPT21	0.003522	1
PHO4	PHO84	1.000000	1
POX1	CAR1	1.000000	1
POX1	FAS1	1.000000	1
POX1	MIG1	0.001136	1
ADH2	SPT21	0.041308	1
CAR1	FAS1	1.000000	1
CAR1	MIG1	0.001136	1
FAS1	MIG1	0.001136	1
