from	to	edgeWeight	sign
CDC11	SWI4	0.506603	1
CDC11	CDC10	0.506603	1
CDC11	SPT16	0.010118	1
CDC11	SWI4_SWI6	0.422094	1
CDC11	ACT1	0.010118	1
CDC11	HTB1	0.010118	1
CDC11	HO	0.004019	1
CDC11	CTS1	0.087838	1
CDC11	LEU2	0.014855	1
CDC11	SNF6	0.007329	1
CDC11	PCL1	0.506603	1
CDC11	PHO5	0.173475	1
CDC11	STE6	0.001145	1
CDC11	HDA1_TUP1	0.013224	1
CDC11	CLN2	0.119784	1
CDC11	LEU4	0.006956	1
CDC11	CDC6	0.009074	1
CDC11	PHO4	0.010118	1
CDC11	PHO84	0.010118	1
CDC11	SPT21	0.014210	1
SWI4	CDC10	0.506603	1
SWI4	SPT16	0.010118	1
SWI4	SWI4_SWI6	0.422094	1
SWI4	ACT1	0.010118	1
SWI4	HTB1	0.010118	1
SWI4	HO	0.004019	1
SWI4	CTS1	0.087838	1
SWI4	LEU2	0.014855	1
SWI4	SNF6	0.007329	1
SWI4	PCL1	0.506603	1
SWI4	PHO5	0.173475	1
SWI4	STE6	0.001145	1
SWI4	HDA1_TUP1	0.013224	1
SWI4	CLN2	0.119784	1
SWI4	LEU4	0.006956	1
SWI4	CDC6	0.009074	1
SWI4	PHO4	0.010118	1
SWI4	PHO84	0.010118	1
SWI4	SPT21	0.014210	1
CDC10	SPT16	0.010118	1
CDC10	SWI4_SWI6	0.422094	1
CDC10	ACT1	0.010118	1
CDC10	HTB1	0.010118	1
CDC10	HO	0.004019	1
CDC10	CTS1	0.087838	1
CDC10	LEU2	0.014855	1
CDC10	SNF6	0.007329	1
CDC10	PCL1	0.506603	1
CDC10	PHO5	0.173475	1
CDC10	STE6	0.001145	1
CDC10	HDA1_TUP1	0.013224	1
CDC10	CLN2	0.119784	1
CDC10	LEU4	0.006956	1
CDC10	CDC6	0.009074	1
CDC10	PHO4	0.010118	1
CDC10	PHO84	0.010118	1
CDC10	SPT21	0.014210	1
SPT16	SWI4_SWI6	0.000986	1
SPT16	ACT1	0.427969	1
SPT16	HTB1	0.427969	1
SPT16	CAF4	0.016513	1
SPT16	CTS1	0.023568	1
SPT16	LEU2	0.218697	1
SPT16	PCL1	0.010118	1
SPT16	GAL1	0.008659	1
SPT16	HDA1_TUP1	0.400215	1
SPT16	CLN2	0.267011	1
SPT16	CAF16	0.005900	1
SPT16	PHO4	0.427969	1
SPT16	ADH2	0.075035	1
SPT16	PHO84	0.427969	1
SPT16	SPT21	0.014210	1
SWI4_SWI6	ACT1	0.000986	1
SWI4_SWI6	HTB1	0.000986	1
SWI4_SWI6	HO	0.017738	1
SWI4_SWI6	CAF4	0.002882	1
SWI4_SWI6	MBP1_SWI6	0.015307	1
SWI4_SWI6	PHO2	0.013378	1
SWI4_SWI6	CTS1	0.060883	1
SWI4_SWI6	TRP4	0.013378	1
SWI4_SWI6	FLO1	0.013378	1
SWI4_SWI6	CLB5	0.015307	1
SWI4_SWI6	CLB6	0.015307	1
SWI4_SWI6	FLO10	0.013378	1
SWI4_SWI6	SNF6	0.002818	1
SWI4_SWI6	PCL1	0.422094	1
SWI4_SWI6	PHO5	0.059365	1
SWI4_SWI6	GAL1	0.005568	1
SWI4_SWI6	STE6	0.025195	1
SWI4_SWI6	HDA1_TUP1	0.003826	1
SWI4_SWI6	TUP1	0.011893	1
SWI4_SWI6	CLN2	0.098228	1
SWI4_SWI6	RAD5	0.015307	1
SWI4_SWI6	RNR3	0.011893	1
SWI4_SWI6	LEU4	0.041531	1
SWI4_SWI6	CAF16	0.007469	1
SWI4_SWI6	CDC6	0.026144	1
SWI4_SWI6	PHO4	0.000986	1
SWI4_SWI6	PHO84	0.000986	1
SWI4_SWI6	ALPHA1	0.011893	1
ACT1	HTB1	0.427969	1
ACT1	CAF4	0.016513	1
ACT1	CTS1	0.023568	1
ACT1	LEU2	0.218697	1
ACT1	PCL1	0.010118	1
ACT1	GAL1	0.008659	1
ACT1	HDA1_TUP1	0.400215	1
ACT1	CLN2	0.267011	1
ACT1	CAF16	0.005900	1
ACT1	PHO4	0.427969	1
ACT1	ADH2	0.075035	1
ACT1	PHO84	0.427969	1
ACT1	SPT21	0.014210	1
HTB1	CAF4	0.016513	1
HTB1	CTS1	0.023568	1
HTB1	LEU2	0.218697	1
HTB1	PCL1	0.010118	1
HTB1	GAL1	0.008659	1
HTB1	HDA1_TUP1	0.400215	1
HTB1	CLN2	0.267011	1
HTB1	CAF16	0.005900	1
HTB1	PHO4	0.427969	1
HTB1	ADH2	0.075035	1
HTB1	PHO84	0.427969	1
HTB1	SPT21	0.014210	1
HO	MBP1_SWI6	0.190562	1
HO	PHO2	0.193364	1
HO	TRP4	0.193364	1
HO	FLO1	0.193364	1
HO	CLB5	0.190562	1
HO	CLB6	0.190562	1
HO	FLO10	0.193364	1
HO	PCL1	0.004019	1
HO	PHO5	0.116839	1
HO	GAL1	0.081818	1
HO	STE6	0.150533	1
HO	TUP1	0.185891	1
HO	RAD5	0.190562	1
HO	RNR3	0.185891	1
HO	CDC6	0.080650	1
HO	ALPHA1	0.185891	1
HO	MIG1	0.034861	1
CAF4	LEU2	0.001315	1
CAF4	HDA1_TUP1	0.015667	1
CAF4	CLN2	0.024473	1
CAF4	CAF16	1.000000	1
CAF4	CDC6	0.018080	1
CAF4	PHO4	0.016513	1
CAF4	PHO84	0.016513	1
MBP1_SWI6	PHO2	0.284997	1
MBP1_SWI6	TRP4	0.284997	1
MBP1_SWI6	FLO1	0.284997	1
MBP1_SWI6	CLB5	0.308666	1
MBP1_SWI6	CLB6	0.308666	1
MBP1_SWI6	FLO10	0.284997	1
MBP1_SWI6	PHO5	0.036267	1
MBP1_SWI6	STE6	0.120558	1
MBP1_SWI6	TUP1	0.257922	1
MBP1_SWI6	RAD5	0.308666	1
MBP1_SWI6	RNR3	0.257922	1
MBP1_SWI6	SUC2	0.017213	1
MBP1_SWI6	LEU4	0.148859	1
MBP1_SWI6	CDC6	0.174325	1
MBP1_SWI6	ADH2	0.016935	1
MBP1_SWI6	ALPHA1	0.257922	1
PHO2	TRP4	0.303948	1
PHO2	FLO1	0.303948	1
PHO2	CLB5	0.284997	1
PHO2	CLB6	0.284997	1
PHO2	FLO10	0.303948	1
PHO2	PHO5	0.036267	1
PHO2	SIN3	0.000996	1
PHO2	STE6	0.123871	1
PHO2	TUP1	0.270505	1
PHO2	FUS1	0.000996	1
PHO2	RAD5	0.284997	1
PHO2	RNR3	0.270505	1
PHO2	SUC2	0.017213	1
PHO2	LEU4	0.175629	1
PHO2	CAF16	0.001067	1
PHO2	CDC6	0.178679	1
PHO2	ALPHA1	0.270505	1
PHO2	MIG1	0.012427	1
CTS1	ACE2	0.372956	1
CTS1	SNF6	0.387688	1
CTS1	PCL1	0.087838	1
CTS1	GAL1	0.081818	1
CTS1	HDA1_TUP1	0.005531	1
CTS1	EGT2	0.372956	1
CTS1	CLN2	0.014449	1
CTS1	SUC2	0.059772	1
CTS1	CDC6	0.040758	1
CTS1	PHO4	0.023568	1
CTS1	PHO84	0.023568	1
CTS1	SPT21	0.224455	1
CTS1	MIG1	0.115849	1
ACE2	SNF6	0.657598	1
ACE2	GAL1	0.084452	1
ACE2	EGT2	0.732080	1
ACE2	SUC2	0.079340	1
ACE2	CDC6	0.063160	1
ACE2	ADH2	0.115586	1
TRP4	FLO1	0.303948	1
TRP4	CLB5	0.284997	1
TRP4	CLB6	0.284997	1
TRP4	FLO10	0.303948	1
TRP4	PHO5	0.036267	1
TRP4	SIN3	0.000996	1
TRP4	STE6	0.123871	1
TRP4	TUP1	0.270505	1
TRP4	FUS1	0.000996	1
TRP4	RAD5	0.284997	1
TRP4	RNR3	0.270505	1
TRP4	SUC2	0.017213	1
TRP4	LEU4	0.175629	1
TRP4	CAF16	0.001067	1
TRP4	CDC6	0.178679	1
TRP4	ALPHA1	0.270505	1
TRP4	MIG1	0.012427	1
LEU2	PCL1	0.014855	1
LEU2	PHO5	0.215434	1
LEU2	GAL1	0.102083	1
LEU2	LEU3	0.164522	1
LEU2	SIN3	0.182624	1
LEU2	HDA1_TUP1	0.191728	1
LEU2	CLN2	0.107558	1
LEU2	FUS1	0.182624	1
LEU2	SUC2	0.025725	1
LEU2	LEU4	0.038455	1
LEU2	PHO4	0.218697	1
LEU2	ADH2	0.091748	1
LEU2	PHO84	0.218697	1
FLO1	CLB5	0.284997	1
FLO1	CLB6	0.284997	1
FLO1	FLO10	0.303948	1
FLO1	PHO5	0.036267	1
FLO1	SIN3	0.000996	1
FLO1	STE6	0.123871	1
FLO1	TUP1	0.270505	1
FLO1	FUS1	0.000996	1
FLO1	RAD5	0.284997	1
FLO1	RNR3	0.270505	1
FLO1	SUC2	0.017213	1
FLO1	LEU4	0.175629	1
FLO1	CAF16	0.001067	1
FLO1	CDC6	0.178679	1
FLO1	ALPHA1	0.270505	1
FLO1	MIG1	0.012427	1
CLB5	CLB6	0.308666	1
CLB5	FLO10	0.284997	1
CLB5	PHO5	0.036267	1
CLB5	STE6	0.120558	1
CLB5	TUP1	0.257922	1
CLB5	RAD5	0.308666	1
CLB5	RNR3	0.257922	1
CLB5	SUC2	0.017213	1
CLB5	LEU4	0.148859	1
CLB5	CDC6	0.174325	1
CLB5	ADH2	0.016935	1
CLB5	ALPHA1	0.257922	1
CLB6	FLO10	0.284997	1
CLB6	PHO5	0.036267	1
CLB6	STE6	0.120558	1
CLB6	TUP1	0.257922	1
CLB6	RAD5	0.308666	1
CLB6	RNR3	0.257922	1
CLB6	SUC2	0.017213	1
CLB6	LEU4	0.148859	1
CLB6	CDC6	0.174325	1
CLB6	ADH2	0.016935	1
CLB6	ALPHA1	0.257922	1
FLO10	PHO5	0.036267	1
FLO10	SIN3	0.000996	1
FLO10	STE6	0.123871	1
FLO10	TUP1	0.270505	1
FLO10	FUS1	0.000996	1
FLO10	RAD5	0.284997	1
FLO10	RNR3	0.270505	1
FLO10	SUC2	0.017213	1
FLO10	LEU4	0.175629	1
FLO10	CAF16	0.001067	1
FLO10	CDC6	0.178679	1
FLO10	ALPHA1	0.270505	1
FLO10	MIG1	0.012427	1
SNF6	PCL1	0.007329	1
SNF6	GAL1	0.038906	1
